time,OAT C,OAH %,WS M/S,WD,SOLDIF W/M2,SOLDIR W/M2,HWOEN C,PPD(PRCD) %,MULSSP C,IAT C,IATSSP C,OCCP,HTDMD KW,AMVRAW_0,AMVRAW_1,AMVRAW_2,AMVRAW_3,AMVRAW_4,AMVRAW_5,AMVRAW_6,AMVRAW_7,AMVRAW_8,AMVRAW_9,AMVRAW_10,AMVRAW_11,AMVRAW_12,AMVRAW_13,AMVRAW_14
2018-01-30 17:59:02.406574,-6.961111666666666,70.0,4.02336,286.0,0.5599443563343472,5.564366565268322e-05,10.0,0.0,51.48375166666667,21.71599055555556,22.22222222222222,1,43.38704111111111,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:04:09.504766,-6.961111666666666,70.0,4.02336,286.0,0.6099480428504958,5.1957149504200345e-05,10.0,0.0,51.663742222222226,21.70799277777778,22.22222222222222,1,42.85083788888888,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:09:19.417140,-6.961111666666666,70.0,4.02336,286.0,0.4799808631058786,1.9136894121349623e-05,10.0,0.0,51.683726666666665,21.69199611111111,22.22222222222222,1,48.18247994444444,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:14:26.169032,-6.961111666666666,70.0,4.02336,286.0,0.24999787444039104,2.12555960892816e-06,10.0,0.0,51.823747222222224,21.67999277777778,22.22222222222222,1,41.45650777777778,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:19:33.274486,-6.961111666666666,70.0,4.02336,286.0,0.059999976230251995,2.3769748010034064e-08,10.0,0.0,51.86373833333334,21.663992222222223,22.22222222222222,1,27.61691227777778,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:24:41.000994,-7.0888888888888895,75.199997,2.2799039999999997,282.0,0.189999374609487,6.253905130225613e-07,10.0,0.0,60.0,21.675991666666665,22.22222222222222,1,82.66901233333334,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:29:48.057007,-7.0888888888888895,75.199997,2.2799039999999997,282.0,0.28999812254596397,1.8774540359765045e-06,10.0,0.0,52.005712777777774,21.68399388888889,22.22222222222222,1,79.80192216666666,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:34:55.164991,-7.0888888888888895,75.199997,2.2799039999999997,282.0,0.2499989692335364,1.0307664636221926e-06,10.0,0.0,51.80571666666667,21.743994999999998,22.22222222222222,1,37.429563055555555,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:40:02.657564,-7.0888888888888895,75.199997,2.2799039999999997,282.0,0.41999575358696833,4.246413031642998e-06,10.0,0.0,51.485727222222216,21.79599333333333,22.22222222222222,1,42.07632238888889,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 18:45:10.200994,-7.0888888888888895,75.199997,2.2799039999999997,282.0,0.6399867962031421,1.3203796857790557e-05,10.0,0.0,51.24569777777778,21.83598833333333,22.22222222222222,1,26.95631922222223,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
