Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),SPACE1-1:Zone People Occupant Count [](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Mean Radiant Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Clothing Value [clo](TimeStep),SPACE1-1 IN NODE:System Node Temperature [C](TimeStep),SPACE1-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),VAV SYS 1 OUTLET NODE:System Node Temperature [C](TimeStep),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/15  06:15:00,15,96,4.85,117.5,0,0,0,18.47722893,75.48384767,15,24,258.0828212,-1.998991347,76.71621401,18.57463561,0.54638655,17.99892465,0.225713671,18.00486381,1.055272869
 01/15  06:30:00,15,96,4.6,115,0,0,0,18.46124203,75.695036,15,23,269.0360477,-2.003499495,76.91970143,18.55606302,0.54638655,17.99887983,0.230647956,18.00480181,1.078341997
 01/15  06:45:00,15,96,4.35,112.5,0,0,0,18.44673553,75.88713087,15,24,280.052185,-2.007655536,77.10656496,18.53936001,0.54638655,17.9987404,0.235512226,18.00463439,1.101083785
 01/15  07:00:00,15,96,4.1,110,0,0,0,18.43356265,76.06203492,15,25,291.0540195,-2.011473881,77.27762306,18.52384919,0.54638655,17.99871407,0.24027757,18.00454867,1.123363063
 01/15  07:15:00,15,96,4.225,145,0,0,0,18.42682355,76.16503024,15,24,10376.10936,-2.015100824,77.4395513,18.5093082,0.54638655,17.99515581,0.217693133,17.99412231,1.017774671
 01/15  07:30:00,15,96,4.35,180,0,0,0,18.43815021,76.17859937,16,25,7791.649853,-2.014138876,77.39665713,18.521727,0.54638655,18.0002128,0.191166437,18.00270481,0.893755145
 01/15  07:45:00,15,96,4.475,215,0,0,0,18.46680847,76.09651716,17,26,6450.946653,-2.006666427,77.06215657,18.56079896,0.54638655,18.00478793,0.176251342,18.00092307,0.824023014
 01/15  08:00:00,15,96,4.6,250,14,0,0,18.52556017,75.90305984,18,27,5382.265215,-1.990991103,76.35309047,18.64015772,0.54638655,18.00146231,0.164669057,18.01087519,0.769872677
 01/15  08:15:00,15,97,3.825,240,21,0,11,19.45526517,72.7562186,19,28,1125.511345,-1.889310966,71.52951599,19.3117818,0.54638655,17.98046035,0.280444611,17.98046035,1.318556791
 01/15  08:30:00,15,98,3.05,230,28,0,11,20.18912613,71.30941606,20,29,357.2376683,-1.637955476,58.40722905,20.01087866,0.54638655,17.99507997,0.255381281,17.99414658,1.200717394
 01/15  08:45:00,15,99,2.275,220,39.5,0,11,20.98950051,69.48009431,21,30,920.5267319,-1.451095855,48.25223512,20.43843031,0.54638655,20.44742246,0.240077514,17.99674292,1.128764199
 01/15  09:00:00,15,100,1.5,210,51,0,11,21.96970005,66.91785861,22,30,1559.679348,-1.23733515,37.09161053,20.99364947,0.54638655,23.33856259,0.228655303,17.99716348,1.075060782
 01/15  09:15:00,15,100,1.5,232.5,62.5,0,11,21.98827541,67.37120044,21,30,251.0454968,-0.973966593,25.03643652,21.68780591,0.54638655,17.99996128,0.221215995,17.99809603,1.040083642
 01/15  09:30:00,15,100,1.5,255,74,0,11,22.30421068,67.40005319,21,30,231.486508,-0.911660463,22.5514897,22.08812879,0.54638655,18.00004932,0.212054408,17.99755196,0.997008922
 01/15  09:45:00,15,100,1.5,277.5,75,0,11,22.60517857,67.09210031,22,30,214.4188035,-0.806860069,18.72748558,22.41345467,0.54638655,18.00002445,0.203761708,17.99778179,0.95801942
 01/15  10:00:00,15,100,1.5,300,76,0,11,22.88045777,66.70950442,21,29,203.7905629,-0.710927344,15.6325859,22.70938797,0.54638655,18.00030145,0.198449592,17.99792027,0.93304363
