Date/Time,HW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),HW DEMAND INLET NODE:System Node Temperature [C](TimeStep),HW DEMAND INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  12:15:00,55.,50.7256625018108,1.376976761376112E-02 
 01/01  12:30:00,55.,50.7477760796469,1.410779370944076E-02 
 01/01  12:45:00,55.,50.7697801813727,1.377545152707070E-02 
 01/01  13:00:00,55.,50.7897494866986,1.165374920482279E-02 
 01/01  13:15:00,55.,50.8061995095291,9.384615763537515E-03 
 01/01  13:30:00,55.,50.8174542627687,5.056059111822460E-03 
 01/01  13:45:00,55.,50.8235463988793,2.777314831190102E-03 
 01/01  14:00:00,55.,50.8276061027732,2.449385630623137E-03 
 01/01  14:15:00,55.,50.8312490992011,2.245170393441196E-03 
 01/01  14:30:00,55.,50.8342308382415,1.600256260595595E-03 
 01/01  14:45:00,55.,50.8360548959793,7.534986784561895E-04 
 01/01  15:00:00,30.1191399511251,50.8366386542221,0.0 
 01/01  15:15:00,30.1191399511251,50.8366386542221,0.0 
 01/01  15:30:00,30.1191399511251,50.8366386542221,0.0 
 01/01  15:45:00,30.1191399511251,50.8366386542221,0.0 
 01/01  16:00:00,30.1191399511251,50.8366386542221,0.0 
 01/01  16:15:00,30.1191399511251,50.8366386542221,0.0 
 01/01  16:30:00,30.1191399511251,50.8366386542221,0.0 
 01/01  16:45:00,55.,50.8371000768843,5.956910467123863E-04 
 01/01  17:00:00,55.,50.8381620418467,7.755260161712310E-04 
 01/01  17:15:00,30.1133075057264,50.8387625604695,0.0 
 01/01  17:30:00,30.1133075057264,50.8387625604695,0.0 
 01/01  17:45:00,30.1133075057264,50.8387625604695,0.0 
 01/01  18:00:00,30.1133075057264,50.8387625604695,0.0 
 01/01  18:15:00,30.1133075057264,50.8387625604695,0.0 
 01/01  18:30:00,30.1133075057264,50.8387625604696,0.0 
 01/01  18:45:00,30.1133075057264,50.8387625604695,0.0 
 01/01  19:00:00,30.1133075057264,50.8387625604695,0.0 
 01/01  19:15:00,30.1133075057264,50.8387625604695,0.0 
 01/01  19:30:00,30.1133075057264,50.8387625604695,0.0 
 01/01  19:45:00,30.1133075057264,50.8387625604695,0.0 
 01/01  20:00:00,30.1133075057264,50.8387625604695,0.0 
 01/01  20:15:00,30.1133075057264,50.8387625604695,0.0 
