1,1.1mp.cws.pittsburgh.whole,,,,,,,,,,,,,,,
,train,,,v1,,,v2,,,v3,,,v4,,,occp
Date/Time,training,[1] System Node Mass Flow Rate (kg/s),,testing1,,,testing2,,,testing3,,,testing4,,,
2002/6/1 6:00,-364402.1153,77.3421103,0.50851854,-187974.7945,95.57025084,0.628367189,-342799.7513,95.57025084,0.628367189,-187059.6048,95.57025084,0.628367189,-341124.9658,95.57025084,0.628367189,0
2002/6/1 6:10,-364034.2096,77.3421103,0.50851854,-190282.721,95.57025084,0.628367189,-354138.4199,95.57025084,0.628367189,-189369.3605,95.57025084,0.628367189,-352461.6651,95.57025084,0.628367189,0
2002/6/1 6:20,-367227.303,77.3421103,0.50851854,-192942.3751,95.57025084,0.628367189,-369067.6341,95.57025084,0.628367189,-192033.0264,95.57025084,0.628367189,-367394.9079,95.57025084,0.628367189,0
2002/6/1 6:30,-373231.1057,77.3421103,0.50851854,-195747.0522,95.57025084,0.628367189,-385385.689,95.57025084,0.628367189,-194833.2205,95.57025084,0.628367189,-383707.842,95.57025084,0.628367189,0
2002/6/1 6:40,-390294.14,77.3421103,0.50851854,-198929.0159,95.57025084,0.628367189,-402649.2894,95.57025084,0.628367189,-198013.1652,95.57025084,0.628367189,-400972.9739,95.57025084,0.628367189,0
2002/6/1 6:50,-401908.2931,77.3421103,0.50851854,-201836.7016,95.57025084,0.628367189,-420529.2571,95.57025084,0.628367189,-200927.0328,95.57025084,0.628367189,-418849.0045,95.57025084,0.628367189,0
2002/6/1 7:00,-399112.918,77.3421103,0.50851854,-204538.7204,95.57025084,0.628367189,-438894.4133,95.57025084,0.628367189,-203621.5149,95.57025084,0.628367189,-437216.7622,95.57025084,0.628367189,0
2002/6/1 7:10,-427344.2798,77.3421103,0.50851854,-206722.3241,95.57025084,0.628367189,-426072.6498,95.57025084,0.628367189,-205808.8275,95.57025084,0.628367189,-424398.6559,95.57025084,0.628367189,0
2002/6/1 7:20,-425639.5668,77.3421103,0.50851854,-209285.3895,95.57025084,0.628367189,-405655.6131,95.57025084,0.628367189,-208371.5908,95.57025084,0.628367189,-403978.651,95.57025084,0.628367189,0
2002/6/1 7:30,-440312.0391,77.3421103,0.50851854,-211853.9746,95.57025084,0.628367189,-382447.6557,95.57025084,0.628367189,-210940.0213,95.57025084,0.628367189,-380774.1653,95.57025084,0.628367189,0
