1,1.csl.vavDx.light.pittsburgh,
2,3.csl.vavDx.heavy.pittsburgh,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,1ST%FLOOR:1ST%RESEARCH%OPEN%NW
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/6/2 12:10,24.05135733,24.10584497
2002/6/2 12:20,23.81083784,23.8931143
2002/6/2 12:30,23.72338436,23.80418746
2002/6/2 12:40,23.71625345,23.86510681
2002/6/2 12:50,23.82555374,23.97480095
2002/6/2 13:00,23.9187485,24.14788071
2002/6/2 13:10,23.96538413,24.16825413
2002/6/2 13:20,24.32322838,24.48540674
2002/6/2 13:30,24.86339057,24.89433356
2002/6/2 13:40,24.88348372,24.91427715
2002/6/2 13:50,24.9598578,24.95550183
2002/6/2 14:00,24.95153138,24.94425368
2002/6/2 14:10,24.12188485,24.14845368
2002/6/2 14:20,24.02722565,24.02600076
2002/6/2 14:30,24.08325522,24.0836637
2002/6/2 14:40,24.08669691,24.08766666
2002/6/2 14:50,24.08388144,24.08406251
2002/6/2 15:00,24.08514128,24.07783584
2002/6/2 15:10,23.44881691,23.49759647
2002/6/2 15:20,23.29540698,23.30993161
2002/6/2 15:30,23.31198736,23.31040491
2002/6/2 15:40,23.30833866,23.3197059
2002/6/2 15:50,23.31593166,23.34241026
2002/6/2 16:00,23.32398315,23.34054408
2002/6/2 16:10,23.96996124,23.99420906
2002/6/2 16:20,24.43939294,24.44266929
2002/6/2 16:30,24.46564474,24.45735975
2002/6/2 16:40,24.46036996,24.45439242
2002/6/2 16:50,24.45457589,24.45173738
2002/6/2 17:00,24.45360185,24.45133883
2002/6/2 17:10,23.97301573,23.96783863
2002/6/2 17:20,23.70775308,23.68301197
2002/6/2 17:30,23.72257308,23.68971508
2002/6/2 17:40,23.76514023,23.76378217
2002/6/2 17:50,23.75369607,23.8033706
2002/6/2 18:00,23.90871337,23.95162968
2002/6/2 18:10,23.70833581,23.75712499
2002/6/2 18:20,23.31724771,23.41232515
2002/6/2 18:30,23.36953719,23.48556676
2002/6/2 18:40,23.21084783,23.37649966
2002/6/2 18:50,23.05095468,23.30870406
2002/6/2 19:00,23.00085841,23.17014356
2002/6/2 19:10,22.94838792,23.10653391
2002/6/2 19:20,22.8461706,23.07515688
2002/6/2 19:30,22.80793168,22.96320014
2002/6/2 19:40,22.77317797,22.97767139
2002/6/2 19:50,22.83375126,23.03107677
2002/6/2 20:00,22.84804565,23.08358968
2002/6/2 20:10,22.89373364,23.08511061
2002/6/2 20:20,22.96573442,23.1120441
2002/6/2 20:30,23.12189711,23.20230281
2002/6/2 20:40,23.29605954,23.36224224
2002/6/2 20:50,23.25630981,23.42361015
2002/6/2 21:00,23.26433366,23.40354365
2002/6/2 21:10,23.33365915,23.420714
2002/6/2 21:20,23.27865561,23.35527304
2002/6/2 21:30,23.21269217,23.28545382
2002/6/2 21:40,23.18793912,23.2953835
2002/6/2 21:50,23.23474005,23.34415305
2002/6/2 22:00,23.22194934,23.34673937
2002/6/2 22:10,23.19136897,23.34580722
2002/6/2 22:20,23.17813276,23.3362429
2002/6/2 22:30,23.09290566,23.2629206
2002/6/2 22:40,23.03841138,23.24074924
2002/6/2 22:50,22.9682116,23.16689695
2002/6/2 23:00,22.81685352,23.0487631
2002/6/2 23:10,22.65942783,22.91253982
2002/6/2 23:20,22.53886321,22.79605567
2002/6/2 23:30,22.4415319,22.70603788
2002/6/2 23:40,22.45596713,22.77354375
2002/6/2 23:50,22.46929114,22.78149411
2002/6/3 0:00,22.36791949,22.69527642
2002/6/3 0:10,22.22550846,22.565721
2002/6/3 0:20,22.12475224,22.46804295
2002/6/3 0:30,22.0787033,22.4236755
2002/6/3 0:40,22.06275003,22.41344003
2002/6/3 0:50,22.10948287,22.46840608
2002/6/3 1:00,22.13194858,22.49957273
2002/6/3 1:10,22.11661178,22.49306077
2002/6/3 1:20,22.07818781,22.46385114
2002/6/3 1:30,22.07702124,22.47166974
2002/6/3 1:40,22.05268174,22.45892512
2002/6/3 1:50,22.02689626,22.44614862
2002/6/3 2:00,22.03254232,22.46152271
2002/6/3 2:10,22.00107063,22.43796929
2002/6/3 2:20,22.0365456,22.48049508
2002/6/3 2:30,21.9936747,22.44542963
2002/6/3 2:40,21.90952775,22.37035646
2002/6/3 2:50,21.85329299,22.32379908
2002/6/3 3:00,21.79759906,22.27806692
2002/6/3 3:10,21.76833782,22.25835227
2002/6/3 3:20,21.85431186,22.33680889
2002/6/3 3:30,21.88687387,22.37069372
2002/6/3 3:40,21.84322172,22.3401064
2002/6/3 3:50,21.7878919,22.30087718
2002/6/3 4:00,21.75888643,22.28731813
2002/6/3 4:10,21.74197506,22.28257904
2002/6/3 4:20,21.72946959,22.2791098
2002/6/3 4:30,21.77491478,22.33191372
2002/6/3 4:40,21.80035879,22.36275768
2002/6/3 4:50,21.78041668,22.34770373
2002/6/3 5:00,21.70958871,22.28284229
2002/6/3 5:10,21.67154387,22.24928076
2002/6/3 5:20,21.60863709,22.19579131
2002/6/3 5:30,21.54972537,22.14616911
2002/6/3 5:40,21.5290775,22.13226584
2002/6/3 5:50,21.52181592,22.13164331
2002/6/3 6:00,21.49660473,22.11346806
2002/6/3 6:10,21.47189564,22.09591588
2002/6/3 6:20,21.52849173,22.15726508
2002/6/3 6:30,21.54133891,22.17733407
2002/6/3 6:40,21.52666102,22.17046434
2002/6/3 6:50,21.51538018,22.16670614
2002/6/3 7:00,21.51904289,22.17796312
2002/6/3 7:10,21.56505501,22.22918951
2002/6/3 7:20,21.59425151,22.2813524
2002/6/3 7:30,21.65449078,22.32895908
2002/6/3 7:40,21.71350215,22.37947737
2002/6/3 7:50,21.78625035,22.44395807
2002/6/3 8:00,21.84947042,22.47395007
2002/6/3 8:10,21.90557115,22.53144105
2002/6/3 8:20,21.95407458,22.56243131
2002/6/3 8:30,21.97691313,22.59431111
2002/6/3 8:40,21.99168382,22.62614919
2002/6/3 8:50,22.02230018,22.66343666
2002/6/3 9:00,22.0573013,22.6970906
2002/6/3 9:10,22.12664502,22.76306501
2002/6/3 9:20,22.21512014,22.84817423
2002/6/3 9:30,22.28947106,22.98139004
2002/6/3 9:40,22.41190415,23.06003481
2002/6/3 9:50,22.49522201,23.11148527
2002/6/3 10:00,22.54946692,23.17854951
2002/6/3 10:10,22.66019557,23.24029275
2002/6/3 10:20,22.75720391,23.28966384
2002/6/3 10:30,22.94119502,23.4027903
2002/6/3 10:40,23.0887994,23.37950868
2002/6/3 10:50,23.08803942,23.29605839
2002/6/3 11:00,23.15993089,23.25358273
2002/6/3 11:10,23.05740876,23.23432497
2002/6/3 11:20,22.97469966,23.14853114
2002/6/3 11:30,23.01198826,23.03810618
2002/6/3 11:40,22.9172588,23.02045978
2002/6/3 11:50,22.75015818,22.98448326
