1,13.csl.vavDx.light.pittsburgh.heat,
2,15.csl.vavDx.heavy.pittsburgh.heat,
,,
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/1/3 13:00,22.22493874,21.84735033
2002/1/3 13:10,21.91833392,22.43015017
2002/1/3 13:20,21.9159533,22.44363167
2002/1/3 13:30,21.90583102,22.43401655
2002/1/3 13:40,21.91649338,22.44021591
2002/1/3 13:50,21.90883416,22.44229534
2002/1/3 14:00,21.9135687,22.44281025
2002/1/3 14:10,22.51277789,22.4598009
2002/1/3 14:20,22.51421733,22.44895413
2002/1/3 14:30,22.52467864,22.45593741
2002/1/3 14:40,22.52713522,22.46137185
2002/1/3 14:50,22.52755938,22.45357652
2002/1/3 15:00,22.52775717,22.45770308
2002/1/3 15:10,21.26982764,21.50108596
2002/1/3 15:20,20.84151905,21.38340701
2002/1/3 15:30,20.65819397,21.37927004
2002/1/3 15:40,20.65204546,21.37916412
2002/1/3 15:50,20.65187433,21.3791612
2002/1/3 16:00,20.65188612,21.37917158
2002/1/3 16:10,22.48129539,22.10907406
2002/1/3 16:20,22.43843331,22.1244221
2002/1/3 16:30,22.43864633,22.12571868
2002/1/3 16:40,22.43903563,22.11780307
2002/1/3 16:50,22.43909311,22.12226558
2002/1/3 17:00,22.43906947,22.12355854
2002/1/3 17:10,22.26281868,21.41379374
2002/1/3 17:20,22.26109495,21.35802411
2002/1/3 17:30,22.25410608,21.34822859
2002/1/3 17:40,22.25743222,21.35225598
2002/1/3 17:50,22.25905682,21.35331964
2002/1/3 18:00,22.25918728,21.35380811
2002/1/3 18:10,21.71427848,21.85289992
2002/1/3 18:20,21.70625354,21.86669056
2002/1/3 18:30,21.69765702,21.8607999
2002/1/3 18:40,21.70292519,21.86445012
2002/1/3 18:50,21.70409584,21.86538063
2002/1/3 19:00,21.70493467,21.86563328
2002/1/3 19:10,22.73955662,22.55136859
2002/1/3 19:20,22.77958394,22.58838017
2002/1/3 19:30,22.77192725,22.58443792
2002/1/3 19:40,22.77759553,22.5878109
2002/1/3 19:50,22.77900725,22.58915661
2002/1/3 20:00,22.77967624,22.58934581
2002/1/3 20:10,20.14421098,19.91239224
2002/1/3 20:20,18.72574654,18.30516097
2002/1/3 20:30,18.24894754,18.30212259
2002/1/3 20:40,18.18488593,18.29729096
2002/1/3 20:50,18.1775493,18.30216544
2002/1/3 21:00,18.18054877,18.29752164
2002/1/3 21:10,18.12879643,17.87018014
2002/1/3 21:20,18.12791474,17.86578301
2002/1/3 21:30,18.12324115,17.8606407
2002/1/3 21:40,18.1258736,17.86353589
2002/1/3 21:50,18.12681755,17.86422721
2002/1/3 22:00,18.12665518,17.8643407
2002/1/3 22:10,17.79062869,18.06516263
2002/1/3 22:20,17.78693446,18.06764249
2002/1/3 22:30,17.78223091,18.06798029
2002/1/3 22:40,17.78487476,18.06366364
